model,tolerance,tolerance_value,accuracy_pct
ExtraTrees_lag_rolling_spatial,+/-5 ug/m3,5,48.47277032359905
ExtraTrees_lag_rolling_spatial,+/-10 ug/m3,10,76.17600631412786
ExtraTrees_lag_rolling_spatial,+/-15 ug/m3,15,87.94001578531964
ExtraTrees_lag_rolling_spatial,+/-20 ug/m3,20,93.22415153906867
ExtraTrees_lag_rolling_spatial,+/-25 ug/m3,25,95.79321231254933
ExtraTrees_lag_rolling_spatial,+/-30 ug/m3,30,97.11917916337805
HistGradientBoosting_lag_rolling_spatial,+/-5 ug/m3,5,49.04104183109708
HistGradientBoosting_lag_rolling_spatial,+/-10 ug/m3,10,76.20363062352013
HistGradientBoosting_lag_rolling_spatial,+/-15 ug/m3,15,87.60063141278611
HistGradientBoosting_lag_rolling_spatial,+/-20 ug/m3,20,92.94001578531964
HistGradientBoosting_lag_rolling_spatial,+/-25 ug/m3,25,95.45777426992896
HistGradientBoosting_lag_rolling_spatial,+/-30 ug/m3,30,96.965272296764
Persistence_current_pm25,+/-5 ug/m3,5,47.004735595895816
Persistence_current_pm25,+/-10 ug/m3,10,71.99289660615628
Persistence_current_pm25,+/-15 ug/m3,15,85.03157063930544
Persistence_current_pm25,+/-20 ug/m3,20,91.52328334648777
Persistence_current_pm25,+/-25 ug/m3,25,94.94080505130229
Persistence_current_pm25,+/-30 ug/m3,30,96.71270718232044
Ridge_lag_rolling_spatial,+/-5 ug/m3,5,46.87056037884767
Ridge_lag_rolling_spatial,+/-10 ug/m3,10,76.56274664561957
Ridge_lag_rolling_spatial,+/-15 ug/m3,15,88.48066298342542
Ridge_lag_rolling_spatial,+/-20 ug/m3,20,93.48855564325179
Ridge_lag_rolling_spatial,+/-25 ug/m3,25,96.02604577742699
Ridge_lag_rolling_spatial,+/-30 ug/m3,30,97.41120757695343
WeightedEnsemble_top3,+/-5 ug/m3,5,48.6266771902131
WeightedEnsemble_top3,+/-10 ug/m3,10,77.26519337016575
WeightedEnsemble_top3,+/-15 ug/m3,15,88.79636937647987
WeightedEnsemble_top3,+/-20 ug/m3,20,93.68587213891081
WeightedEnsemble_top3,+/-25 ug/m3,25,96.2273086029992
WeightedEnsemble_top3,+/-30 ug/m3,30,97.5217048145225
