model,tolerance,tolerance_value,rows_evaluated,accuracy_pct
ExtraTrees_lag_rolling_spatial,+/-5 ug/m3,5,25340,50.22888713496448
ExtraTrees_lag_rolling_spatial,+/-10 ug/m3,10,25340,77.29281767955801
ExtraTrees_lag_rolling_spatial,+/-15 ug/m3,15,25340,88.27150749802684
ExtraTrees_lag_rolling_spatial,+/-20 ug/m3,20,25340,93.36227308602999
ExtraTrees_lag_rolling_spatial,+/-25 ug/m3,25,25340,95.88397790055248
ExtraTrees_lag_rolling_spatial,+/-30 ug/m3,30,25340,97.13496448303079
HistGradientBoosting_lag_rolling_spatial,+/-5 ug/m3,5,25340,48.721389108129436
HistGradientBoosting_lag_rolling_spatial,+/-10 ug/m3,10,25340,75.5524861878453
HistGradientBoosting_lag_rolling_spatial,+/-15 ug/m3,15,25340,87.5217048145225
HistGradientBoosting_lag_rolling_spatial,+/-20 ug/m3,20,25340,92.79005524861878
HistGradientBoosting_lag_rolling_spatial,+/-25 ug/m3,25,25340,95.35122336227309
HistGradientBoosting_lag_rolling_spatial,+/-30 ug/m3,30,25340,96.8666140489345
Persistence_current_pm25,+/-5 ug/m3,5,25340,47.004735595895816
Persistence_current_pm25,+/-10 ug/m3,10,25340,71.99289660615628
Persistence_current_pm25,+/-15 ug/m3,15,25340,85.03157063930544
Persistence_current_pm25,+/-20 ug/m3,20,25340,91.52328334648777
Persistence_current_pm25,+/-25 ug/m3,25,25340,94.94080505130229
Persistence_current_pm25,+/-30 ug/m3,30,25340,96.71270718232044
Ridge_lag_rolling_spatial,+/-5 ug/m3,5,25340,48.19258089976322
Ridge_lag_rolling_spatial,+/-10 ug/m3,10,25340,77.4782951854775
Ridge_lag_rolling_spatial,+/-15 ug/m3,15,25340,88.8121546961326
Ridge_lag_rolling_spatial,+/-20 ug/m3,20,25340,93.61089187056038
Ridge_lag_rolling_spatial,+/-25 ug/m3,25,25340,96.07734806629834
Ridge_lag_rolling_spatial,+/-30 ug/m3,30,25340,97.33228097868982
WeightedEnsemble_top3,+/-5 ug/m3,5,25340,49.73954222573007
WeightedEnsemble_top3,+/-10 ug/m3,10,25340,77.73086029992108
WeightedEnsemble_top3,+/-15 ug/m3,15,25340,88.90292028413576
WeightedEnsemble_top3,+/-20 ug/m3,20,25340,93.55958958168902
WeightedEnsemble_top3,+/-25 ug/m3,25,25340,95.982636148382
WeightedEnsemble_top3,+/-30 ug/m3,30,25340,97.36779794790844
