model,tolerance,tolerance_value,rows_evaluated,accuracy_pct
Attention_BiLSTM_sequence,+/-5 ug/m3,5,25340,42.470402525651146
Attention_BiLSTM_sequence,+/-10 ug/m3,10,25340,68.49250197316495
Attention_BiLSTM_sequence,+/-15 ug/m3,15,25340,82.65193370165746
Attention_BiLSTM_sequence,+/-20 ug/m3,20,25340,89.82241515390686
Attention_BiLSTM_sequence,+/-25 ug/m3,25,25340,93.80820836621942
Attention_BiLSTM_sequence,+/-30 ug/m3,30,25340,95.69060773480663
BiLSTM_sequence,+/-5 ug/m3,5,25340,46.83109707971587
BiLSTM_sequence,+/-10 ug/m3,10,25340,74.04498816101027
BiLSTM_sequence,+/-15 ug/m3,15,25340,86.5785319652723
BiLSTM_sequence,+/-20 ug/m3,20,25340,92.22573007103394
BiLSTM_sequence,+/-25 ug/m3,25,25340,95.15785319652723
BiLSTM_sequence,+/-30 ug/m3,30,25340,96.78768745067087
CNN_LSTM_sequence,+/-5 ug/m3,5,25340,47.675611681136544
CNN_LSTM_sequence,+/-10 ug/m3,10,25340,75.67876874506709
CNN_LSTM_sequence,+/-15 ug/m3,15,25340,87.50591949486977
CNN_LSTM_sequence,+/-20 ug/m3,20,25340,92.7663772691397
CNN_LSTM_sequence,+/-25 ug/m3,25,25340,95.81294396211524
CNN_LSTM_sequence,+/-30 ug/m3,30,25340,97.26519337016575
ExtraTrees_lag_rolling_spatial,+/-5 ug/m3,5,25340,48.47277032359905
ExtraTrees_lag_rolling_spatial,+/-10 ug/m3,10,25340,76.17600631412786
ExtraTrees_lag_rolling_spatial,+/-15 ug/m3,15,25340,87.94001578531964
ExtraTrees_lag_rolling_spatial,+/-20 ug/m3,20,25340,93.22415153906867
ExtraTrees_lag_rolling_spatial,+/-25 ug/m3,25,25340,95.79321231254933
ExtraTrees_lag_rolling_spatial,+/-30 ug/m3,30,25340,97.11917916337805
GRU_sequence,+/-5 ug/m3,5,25340,48.737174427782165
GRU_sequence,+/-10 ug/m3,10,25340,76.026045777427
GRU_sequence,+/-15 ug/m3,15,25340,88.02288871349646
GRU_sequence,+/-20 ug/m3,20,25340,92.95185477505919
GRU_sequence,+/-25 ug/m3,25,25340,95.52486187845304
GRU_sequence,+/-30 ug/m3,30,25340,96.96921862667719
HistGradientBoosting_lag_rolling_spatial,+/-5 ug/m3,5,25340,49.04104183109708
HistGradientBoosting_lag_rolling_spatial,+/-10 ug/m3,10,25340,76.20363062352013
HistGradientBoosting_lag_rolling_spatial,+/-15 ug/m3,15,25340,87.60063141278611
HistGradientBoosting_lag_rolling_spatial,+/-20 ug/m3,20,25340,92.94001578531964
HistGradientBoosting_lag_rolling_spatial,+/-25 ug/m3,25,25340,95.45777426992896
HistGradientBoosting_lag_rolling_spatial,+/-30 ug/m3,30,25340,96.965272296764
LSTM_sequence,+/-5 ug/m3,5,25340,48.09786898184688
LSTM_sequence,+/-10 ug/m3,10,25340,74.63693764798737
LSTM_sequence,+/-15 ug/m3,15,25340,86.65745856353591
LSTM_sequence,+/-20 ug/m3,20,25340,92.45067087608524
LSTM_sequence,+/-25 ug/m3,25,25340,95.12233622730861
LSTM_sequence,+/-30 ug/m3,30,25340,96.69297553275455
Persistence_current_pm25,+/-5 ug/m3,5,25340,47.004735595895816
Persistence_current_pm25,+/-10 ug/m3,10,25340,71.99289660615628
Persistence_current_pm25,+/-15 ug/m3,15,25340,85.03157063930544
Persistence_current_pm25,+/-20 ug/m3,20,25340,91.52328334648777
Persistence_current_pm25,+/-25 ug/m3,25,25340,94.94080505130229
Persistence_current_pm25,+/-30 ug/m3,30,25340,96.71270718232044
Ridge_lag_rolling_spatial,+/-5 ug/m3,5,25340,46.87056037884767
Ridge_lag_rolling_spatial,+/-10 ug/m3,10,25340,76.56274664561957
Ridge_lag_rolling_spatial,+/-15 ug/m3,15,25340,88.48066298342542
Ridge_lag_rolling_spatial,+/-20 ug/m3,20,25340,93.48855564325179
Ridge_lag_rolling_spatial,+/-25 ug/m3,25,25340,96.02604577742699
Ridge_lag_rolling_spatial,+/-30 ug/m3,30,25340,97.41120757695343
WeightedEnsemble_top3,+/-5 ug/m3,5,25340,48.6266771902131
WeightedEnsemble_top3,+/-10 ug/m3,10,25340,77.26519337016575
WeightedEnsemble_top3,+/-15 ug/m3,15,25340,88.79636937647987
WeightedEnsemble_top3,+/-20 ug/m3,20,25340,93.68587213891081
WeightedEnsemble_top3,+/-25 ug/m3,25,25340,96.2273086029992
WeightedEnsemble_top3,+/-30 ug/m3,30,25340,97.5217048145225
