model,rows_total,rows_evaluated,mae,rmse,r2,bias_mean_error,median_abs_error,p90_abs_error,p95_abs_error,within_5ug_pct,within_10ug_pct,within_15ug_pct,within_20ug_pct,within_25ug_pct,within_30ug_pct,rank_by_rmse
Ridge_lag_rolling_spatial,25340,25340,7.705305154812129,11.780955600213636,0.7481211401122898,-0.39703950755292255,5.4023027420043945,16.179410433769227,22.785991096496577,46.87056037884767,76.56274664561957,88.48066298342542,93.48855564325179,96.02604577742699,97.41120757695343,1
CNN_LSTM_sequence,25340,25340,7.815326576956916,12.086879797427176,0.7348698688753256,0.27135771341039705,5.284187316894531,16.900876426696783,23.326138639450072,47.675611681136544,75.67876874506709,87.50591949486977,92.7663772691397,95.81294396211524,97.26519337016575,2
Persistence_current_pm25,25340,25340,8.273018954420829,12.48286417301674,0.7172131760538306,-0.01932517743559926,5.499999642372131,18.5,25.100000381469727,47.19810576164167,72.04814522494081,85.07498026835043,91.55090765588002,94.94475138121547,96.72454617205999,3
WeightedEnsemble_top3,25340,25340,7.634613781998469,12.533324238603821,0.7149223103516955,0.2909742025104702,5.157952328785236,15.967862654635315,22.220151726979278,48.6266771902131,77.26519337016575,88.79636937647987,93.68587213891081,96.2273086029992,97.5217048145225,4
GRU_sequence,25340,25340,7.822065138946204,12.604003623504154,0.7116979575796567,0.8860039952827798,5.170266628265381,16.44587879180909,23.76330766677856,48.737174427782165,76.026045777427,88.02288871349646,92.95185477505919,95.52486187845304,96.96921862667719,5
BiLSTM_sequence,25340,25340,8.187764035025355,13.043198363227317,0.691255749605318,1.4528821240496053,5.414850115776062,17.62614765167237,24.53870506286621,46.83109707971587,74.04498816101027,86.5785319652723,92.22573007103394,95.15785319652723,96.78768745067087,6
LSTM_sequence,25340,25340,8.11388687052262,13.099603293967098,0.6885796647600805,1.044176157951449,5.246217250823975,17.436294174194337,24.75174446105956,48.09786898184688,74.63693764798737,86.65745856353591,92.45067087608524,95.12233622730861,96.69297553275455,7
ExtraTrees_lag_rolling_spatial,25340,25340,7.92962684750604,13.342269494727832,0.676934860771769,0.3052158765488943,5.203429937362671,16.5121548652649,23.20528111457823,48.47277032359905,76.17600631412786,87.94001578531964,93.22415153906867,95.79321231254933,97.11917916337805,8
HistGradientBoosting_lag_rolling_spatial,25340,25340,8.081172873939504,14.298225891526869,0.6289819928248854,0.9616795589181506,5.132596254348755,16.690735626220732,23.82573679089546,49.04104183109708,76.20363062352013,87.60063141278611,92.94001578531964,95.45777426992896,96.965272296764,9
Attention_BiLSTM_sequence,25340,25340,9.416740458255784,15.100759763745305,0.5861639908117147,1.6644595350749678,6.165302515029907,20.182529783248906,28.002759742736817,42.470402525651146,68.49250197316495,82.65193370165746,89.82241515390686,93.80820836621942,95.69060773480663,10
