model,seconds,artifact
Persistence_current_pm25,0.0004248619079589844,
Ridge_lag_rolling_spatial,1.0799450874328613,/content/pm25_nextday_clean_outputs/models/Ridge_lag_rolling_spatial.pkl
HistGradientBoosting_lag_rolling_spatial,21.1039879322052,/content/pm25_nextday_clean_outputs/models/HistGradientBoosting_lag_rolling_spatial.pkl
ExtraTrees_lag_rolling_spatial,297.48703145980835,
WeightedEnsemble_top3,0.0,"ensemble from ExtraTrees_lag_rolling_spatial, HistGradientBoosting_lag_rolling_spatial, Ridge_lag_rolling_spatial"
LSTM_sequence,616.0547971725464,/content/pm25_nextday_clean_outputs/deep_learning/LSTM_sequence.keras
GRU_sequence,915.742734670639,/content/pm25_nextday_clean_outputs/deep_learning/GRU_sequence.keras
BiLSTM_sequence,973.6611881256104,/content/pm25_nextday_clean_outputs/deep_learning/BiLSTM_sequence.keras
CNN_LSTM_sequence,514.6624708175659,/content/pm25_nextday_clean_outputs/deep_learning/CNN_LSTM_sequence.keras
Attention_BiLSTM_sequence,3269.178665161133,/content/pm25_nextday_clean_outputs/deep_learning/Attention_BiLSTM_sequence.keras
